Course{code='ANA300Y1', courseName='Human Anatomy and Histology', credits='1.00', campus='St. George', department='Anatomy and Cell Biology', term='2018 Fall +', division='Faculty of Arts and Science'}
Course{code='ANA301H1', courseName='Human Embryology', credits='0.5', campus='St. George', department='Anatomy and Cell Biology', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='ANA400H1', courseName='Anatomy Dissection', credits='0.5', campus='St. George', department='Anatomy and Cell Biology', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='ANA411H1', courseName='Anatomy in Application: Exercise & Biomechanics', credits='0.5', campus='St. George', department='Anatomy and Cell Biology', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='ANA498Y1', courseName='Project in Anatomy', credits='1.00', campus='St. George', department='Anatomy and Cell Biology', term='2018 Fall +', division='Faculty of Arts and Science'}
Course{code='LTE299Y1', courseName='Research Opportunity Program', credits='1.00', campus='St. George', department='ASDN: Arts and Science, Office of the Dean', term='2018 Fall +', division='Faculty of Arts and Science'}
Course{code='LTE399Y1', courseName='Research Opportunity Program', credits='1.00', campus='St. George', department='ASDN: Arts and Science, Office of the Dean', term='2018 Fall +', division='Faculty of Arts and Science'}
Course{code='LTE198H1', courseName='1st Yr Sem Cat 4', credits='0.5', campus='St. George', department='Arts & Science Seminars', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='LTE199H1', courseName='1st Yr Sem Cat 4', credits='0.5', campus='St. George', department='Arts & Science Seminars', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='LTE199H1', courseName='1st Yr Sem Cat 4', credits='0.5', campus='St. George', department='Arts & Science Seminars', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='PMU199H1', courseName='1st Yr Sem Cat 5', credits='0.5', campus='St. George', department='Arts & Science Seminars', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='PMU199H1', courseName='1st Yr Sem Cat 5', credits='0.5', campus='St. George', department='Arts & Science Seminars', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='PMU199Y1', courseName='Physical & Math Universes', credits='1.00', campus='St. George', department='Arts & Science Seminars', term='2018 Fall +', division='Faculty of Arts and Science'}
Course{code='SII198H1', courseName='1st Yr Sem Cat 3', credits='0.5', campus='St. George', department='Arts & Science Seminars', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='SII199H1', courseName='1st Yr Sem Cat 3', credits='0.5', campus='St. George', department='Arts & Science Seminars', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='SII199H1', courseName='1st Yr Sem Cat 3', credits='0.5', campus='St. George', department='Arts & Science Seminars', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='SII199Y1', courseName='Society & Its Institutions', credits='1.00', campus='St. George', department='Arts & Science Seminars', term='2018 Fall +', division='Faculty of Arts and Science'}
Course{code='TBB199H1', courseName='1st Yr Sem Cat 2', credits='0.5', campus='St. George', department='Arts & Science Seminars', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='TBB199H1', courseName='1st Yr Sem Cat 2', credits='0.5', campus='St. George', department='Arts & Science Seminars', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='TBB199Y1', courseName='Thought Belief Behaviour', credits='1.00', campus='St. George', department='Arts & Science Seminars', term='2018 Fall +', division='Faculty of Arts and Science'}
Course{code='XBC199Y1', courseName='Cross Breadth Categories', credits='1.00', campus='St. George', department='Arts & Science Seminars', term='2018 Fall +', division='Faculty of Arts and Science'}
Course{code='CCR199H1', courseName='1st Yr Sem Cat 1', credits='0.5', campus='St. George', department='Arts & Science Seminars', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='CCR199H1', courseName='1st Yr Sem Cat 1', credits='0.5', campus='St. George', department='Arts & Science Seminars', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='CCR199Y1', courseName='Creative Cultural Represent', credits='1.00', campus='St. George', department='Arts & Science Seminars', term='2018 Fall +', division='Faculty of Arts and Science'}
